"DRS_ID","OwnerSuppliedName","Geographic Scope","URN","HOLLIS","SEQUENCE","MAP"
44717874,"013319662_v3_0048","Northern Coast of Algeria","urn-3:FHCL:9696227","013319662",539,
44717875,"013319662_v3_0049","Soutwestern Portugal","urn-3:FHCL:9696228","013319662",540,
44717876,"013319662_v3_0050","Northern Portugal","urn-3:FHCL:9696229","013319662",541,
44717877,"013319662_v3_0051","Western Coast of Spain","urn-3:FHCL:9696230","013319662",542,
44717878,"013319662_v3_0054","Bay of Biscay","urn-3:FHCL:9696231","013319662",545,
44717879,"013319662_v3_0055","Northern Bay of Biscay","urn-3:FHCL:9696232","013319662",546,
44717880,"013319662_v3_0058","English Channel and Isle of Wight","urn-3:FHCL:9696233","013319662",549,
44717881,"013319662_v3_0060","Corvo, Azores","urn-3:FHCL:9696234","013319662",551,
44717882,"013319662_v3_0061","English Channel and Calais/Brighton","urn-3:FHCL:9696235","013319662",552,
44717883,"013319662_v3_0062","Southeastern England","urn-3:FHCL:9696236","013319662",553,
44717884,"013319662_v3_0063","English Coast from Flamborough to Orton","urn-3:FHCL:9696237","013319662",554,
44717885,"013319662_v3_0064","English Coast from Berwick-upon-Tweed to Filey","urn-3:FHCL:9696238","013319662",555,
44717886,"013319662_v3_0065","Scottish Coast from Edinburgh to Kinloss","urn-3:FHCL:9696239","013319662",556,
44717887,"013319662_v3_0066","Northern Scotland","urn-3:FHCL:9696240","013319662",557,
44717888,"013319662_v3_0071","Polish Coast from Kolobrzeg to Kaliningrad","urn-3:FHCL:9696241","013319662",562,
44717889,"013319662_v3_0073","Gulf of Riga","urn-3:FHCL:9696242","013319662",564,
44717890,"013319662_v3_0075","Gulf of Bothnia","urn-3:FHCL:9696243","013319662",566,
44717891,"013319662_v3_0076","Southern Coast of Norway","urn-3:FHCL:9696244","013319662",567,
44717892,"013319662_v3_0078","Northern Coast of Norway and Lapland","urn-3:FHCL:9696245","013319662",569,
44717893,"013319662_v3_0085","Northern Labrador and Southern Greenland","urn-3:FHCL:9696246","013319662",576,
44717900,"013319662_v3_0100","Western Coast of Africa from Libreville to Namibe","urn-3:FHCL:9696253","013319662",591,
44717901,"013319662_v3_0102","Namibian Coast","urn-3:FHCL:9696254","013319662",593,
44717902,"013319662_v3_0105","Northern Madagascar, Reunion, and Mauritius","urn-3:FHCL:9696255","013319662",596,
44717903,"013319662_v3_0107","Northwestern Indian Ocean (Referenced Using Coordinates on Map)","urn-3:FHCL:9696256","013319662",598,
44717904,"013319662_v3_0108","Coasts of Kenya and Somalia","urn-3:FHCL:9696257","013319662",599,
44717917,"013319662_v3_0125","Java and Sumatra","urn-3:FHCL:9696270","013319662",616,
44717918,"013319662_v3_0128","South China Sea","urn-3:FHCL:9696271","013319662",619,
44717919,"013319662_v3_0129","Western Coast of the Philippines","urn-3:FHCL:9696272","013319662",620,
44717920,"013319662_v3_0131","Southern Philippines","urn-3:FHCL:9696273","013319662",622,
44717921,"013319662_v3_0133","North Molucca Islands, Southern Mindanao, and Palau","urn-3:FHCL:9696274","013319662",624,
44717922,"013319662_v3_0134","Pulau Archipelago, Molucca Islands","urn-3:FHCL:9696275","013319662",625,
44717923,"013319662_v3_0136","Molucca and Banda Seas","urn-3:FHCL:9696276","013319662",627,
44717924,"013319662_v3_0140","Papua New Guinea and Northern Australia","urn-3:FHCL:9696277","013319662",631,
