DRS_ID	OwnerSuppliedName	Geographic Scope	URN
44717988	013319662_v3_0070	Skagerrak and Kattegatt	urn-3:FHCL:9696137
44717989	013319662_v3_0072	Baltic Sea and Gulf of Riga	urn-3:FHCL:9696138
44717990	013319662_v3_0074	Gulf of Finland	urn-3:FHCL:9696139
44717991	013319662_v3_0077	Norwegian Sea	urn-3:FHCL:9696140
44717992	013319662_v3_0079	Lapland and the White Sea	urn-3:FHCL:9696141
44717993	013319662_v3_0080	Novaya Zemlya	urn-3:FHCL:9696142
44717994	013319662_v3_0081	Svalbard	urn-3:FHCL:9696143
44717995	013319662_v3_0082	Iceland	urn-3:FHCL:9696144
44717996	013319662_v3_0083	Eastern Greenland	urn-3:FHCL:9696145
44717997	013319662_v3_0084	Hudson Bay and Northwestern Passages	urn-3:FHCL:9696146
44717998	013319662_v3_0086	Hudson Strait and Hudson Bay	urn-3:FHCL:9696147
44717999	013319662_v3_0093	Coast of Morocco	urn-3:FHCL:9696148
44718000	013319662_v3_0094	The Azores	urn-3:FHCL:9696149
44718001	013319662_v3_0095	Canary Islands and Vicinity	urn-3:FHCL:9696150
44718002	013319662_v3_0096	Cape Verde Islands and Senegal	urn-3:FHCL:9696151
44718003	013319662_v3_0097	Cape Verde and Eastern Caribbean	urn-3:FHCL:9696152
44718004	013319662_v3_0098	Sierra Leone and Norteastern Brazil	urn-3:FHCL:9696153
44718005	013319662_v3_0099	Northern Gulf of Guinea	urn-3:FHCL:9696154
44718006	013319662_v3_0101	Western Africa from Gabon to Namibia	urn-3:FHCL:9696155
44718007	013319662_v3_0103	Southern Africa and Cape of Good Hope	urn-3:FHCL:9696156
44718008	013319662_v3_0104	Madagascar and Mozambique Channel	urn-3:FHCL:9696157
44718009	013319662_v3_0106	Northern Madagascar and Glorioso Islands	urn-3:FHCL:9696158
44718010	013319662_v3_0109	Red Sea, Gulf of Aden, and Arabian Sea	urn-3:FHCL:9696159
44718011	013319662_v3_0122	Gulf of Oman and Arabian Sea	urn-3:FHCL:9696160
44718012	013319662_v3_0123	India and Sri Lanka	urn-3:FHCL:9696161
44718013	013319662_v3_0124	Southern Sumatra	urn-3:FHCL:9696162
44718014	013319662_v3_0126	Bay of Bengal and Andaman Sea	urn-3:FHCL:9696163
44718015	013319662_v3_0127	Gulf of Thailand, Sulu Sea, and Environs	urn-3:FHCL:9696164
44718016	013319662_v3_0130	Luzon and Mindoro Islands, Philippines	urn-3:FHCL:9696165
44718017	013319662_v3_0132	Celebes Sea and Northern Molucca Sea	urn-3:FHCL:9696166
44718018	013319662_v3_0135	Java Sea, Sumatra, and Java	urn-3:FHCL:9696167
44718019	013319662_v3_0137	Taiwan Strait and East China Sea	urn-3:FHCL:9696168
44718020	013319662_v3_0138	Korea and Japan	urn-3:FHCL:9696169
44718021	013319662_v3_0139	Cape Mendocino and North Pacific Ocean	urn-3:FHCL:9696170
44718022	013319662_v3_0141	Coral Sea and South Pacific Ocean (Referenced Using Coordinates on Map)	urn-3:FHCL:9696171
44718023	013319662_v3_0143	South Pacific Ocean (Referenced Using Coordinates on Map)	urn-3:FHCL:9696172
44718024	013319662_v3_0144	Peru and Galapagos Islands	urn-3:FHCL:9696173
44718025	013319662_v3_0157	Gulf of Saint Lawrence, Newfoundland, and Nova Scotia	urn-3:FHCL:9696174
